Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
"House and Lot for Sale in Capitol Homes, Quezon City","Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/quezon-city-house-and-lot-for-sale-in-capitol-home-165951650339.html
Capitol Homes House and Lot for Sale in Quezon City!,"Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/capitol-homes-5-bedroom-house-and-lot-for-sale-que-165951648244.html
"House and Lot Capitol Homes, Matandang Balara, Quezon City","Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/modern-house-and-lot-for-sale-in-capitol-homes-mat-165951644562.html
Capitol Homes Brand New 2-Storey House and Lot for Sale in Quezon City,"Batasan Hills, Quezon City",House,"House,single-family-house",663,850,None,5,5,121.096563,14.681641,None,100000000,https://www.lamudi.com.ph/capitol-homes-brand-new-2-storey-house-and-lot-for-165951657641.html
"Brand New 3 Bedroom Condo for Sale in Grand Hyatt Residences, BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,300,3,3,2,121.050318,14.540867,Grand Hyatt Residences,137000000,https://www.lamudi.com.ph/brand-new-3-bedroom-condo-for-sale-in-grand-hyatt-residences-bgc-taguig.html
Interior Designed 3 Bedroom Unit For Sale at The Suites by Ayala Land Premier,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,209,2,3,4,121.050318,14.540867,The Suites,110000000,https://www.lamudi.com.ph/interior-designed-3-bedroom-unit-for-sale-at-the-suites-by-ayala-land-premier-bg.html
For Sale 2Bedroom Condominium in Radiance Manila Bay Rent to Own 5% Down Move-in,"Roxas Boulevard, Manila",Condominium,"Condominium,double-bedroom",None,80,None,2,1,120.9895887,14.551476,Radiance Manila Bay,3547538,https://www.lamudi.com.ph/for-sale-2bedroom-condominium-in-radiance-manila-bay-rent-to-own-5-down-move-in.html
Rent to Own Condo - Pioneer Woodlands,"Boni Avenue, Mandaluyong",Condominium,"Condominium,double-bedroom",None,50,None,2,1,121.041386,14.575547,None,8000000,https://www.lamudi.com.ph/rent-to-own-condo-pioneer-woodlands.html
For Sale 1-BR Condo in Sapphire Bloc Pasig Ortigas for Rent to Own 9k monthly,"Ortigas CBD, Pasig",Condominium,"Condominium,single-bedroom",None,36,None,1,1,121.059675,14.583771,Sapphire Bloc,10200000,https://www.lamudi.com.ph/for-sale-1-br-condo-in-sapphire-bloc-pasig-ortigas-for-rent-to-own-9k-monthly.html
Studio Unit Condominium for sale in Pasig City,"Ortigas Avenue, Pasig",Condominium,"Condominium,studio",None,32,None,1,1,121.081755,14.590053,Skyway Twin Towers,2200000,https://www.lamudi.com.ph/studio-unit-condominium-for-sale-in-pasig-city-2.html
West Fairview Modern Townhouse for sale,"Fairview, Quezon City",House,"House,townhouse",100,230,None,3,3,121.06821,14.702178,None,12000000,https://www.lamudi.com.ph/west-fairview-modern-townhouse-for-sale.html
Tandang Sora via Philand Drive Townhouse for sale,"Tandang Sora, Quezon City",House,"House,townhouse",67,150,None,3,3,121.042788,14.6820013,None,8500000,https://www.lamudi.com.ph/tandang-sora-via-philand-drive-townhouse-for-sale.html
Merville Brand New House and Lot For Sale,"Merville, Paranaque",House,"House,single-family-house",233,330,2,4,4,121.0292448,14.50022482,None,33000000,https://www.lamudi.com.ph/merville-brand-new-house-and-lot-for-sale.html
Townhouse in Tanauan Batangas Near SLEX,"Bagumbayan, Tanauan",House,"House,townhouse",50,45,1,2,1,121.1423242,14.07928172,None,1152000,https://www.lamudi.com.ph/townhouse-in-tanauan-batangas-near-slex.html
"Corner House and Lot for Sale Tagaytay, Cavite, Foggy Heights Village Brand New!","Maitim 2nd West, Tagaytay",House,"House,single-family-house",596,650,6,7,6,120.95476,14.119975,None,30000000,https://www.lamudi.com.ph/foggy-heights-village-brand-new-corner-house-for-sale-in-tagaytay-cavite.html
"Brand New House and Lot for Sale in Tagaytay, Cavite at Foggy Heights Village!","Maitim 2nd West, Tagaytay",House,"House,single-family-house",596,650,6,7,6,120.95476,14.119975,None,30000000,https://www.lamudi.com.ph/brand-new-7-bedroom-house-for-sale-in-foggy-heights-village-tagaytay-cavite.html
"Foggy Heights Village Brand New House and Lot for Sale in Tagaytay, Cavite","Maitim 2nd East, Tagaytay",House,"House,single-family-house",650,596,6,7,6,120.961453,14.123215,None,30000000,https://www.lamudi.com.ph/foggy-heights-village-brand-new-7-bedroom-7br-house-for-sale-in-tagaytay-cavite.html
For Assume Balance 1BR Vista Pinehill Condo in Baguio City,"Outlook Drive, Baguio",Condominium,"Condominium,single-bedroom",None,34,None,1,1,120.589959,16.40957346,Vista Pinehill,4900000,https://www.lamudi.com.ph/for-assume-balance-1br-vista-land-pre-sell-condo-in-baguio-city.html
"Townhouse For Sale in Beverly Homes 3 at Loma de Gato, Marilao, Bulacan","Loma de Gato, Marilao",House,"House,townhouse",52,51,1,3,1,121.0135834,14.7884969,None,2070000,https://www.lamudi.com.ph/townhouse-for-sale-in-beverly-homes-3-at-loma-de-gato-marilao-bulacan.html
"For Sale: Seafront Residences, 3 Bedroom Beach Home at San Juan City Batangas","Calubcub II, San Juan",House,"House,beach-house",200,100,2,3,2,121.376174,13.726231,None,11590000,https://www.lamudi.com.ph/for-sale-seafront-residences-3-bedroom-beach-home-at-san-juan-city-batangas.html
"4 Bedrooms RFO unit Single Attached For Sale in San Jose Del Monte, Bulacan","Muzon, San Jose del Monte",House,"House,single-family-house",108,88,None,4,3,121.0274788,14.8104242,None,4440000,https://www.lamudi.com.ph/4-bedrooms-rfo-unit-single-attached-for-sale-in-san-jose-del-monte-bulacan.html
"House For Sale in Mahogany Place 3, Acacia Estates, Taguig City","Bambang, Taguig",House,"House,single-family-house",150,332,2,3,3,121.06934,14.524033,None,36000000,https://www.lamudi.com.ph/house-for-sale-in-mahogany-place-3-acacia-estates-taguig-city.html
Beach lot for sale in Samal island,"Mambago-A, Island of garden Samal, Samal",Land,"Land,beach-lot",15000,None,None,None,None,125.7099651,7.0988055,None,45000000,https://www.lamudi.com.ph/beach-lot-for-sale-in-samal-island-2.html
"For Sale Affordable Studio Unit in San Miguel, Pasig City, Metro Manila","San Miguel, Pasig",Condominium,"Condominium,studio",None,23.7,None,1,1,121.092265,14.567197,Amaia Steps Pasig,3199000,https://www.lamudi.com.ph/for-sale-affordable-studio-unit-in-san-miguel-pasig-city-metro-manila.html
"DISCOVERY PRIMEA: 3BR For Sale, 409 sqm, Furnished, with balcony, 3 parking","Urdaneta, Makati",Condominium,"Condominium,3-bedroom",None,409,3,3,4,121.029209,14.555756,Discovery Primea,180000000,https://www.lamudi.com.ph/discovery-primea-3br-for-sale-409-sqm-furnished-with-balcony-3-parking.html
Affordable 2 Bedrooms Single Attached in Cabuyao and Calamba Laguna,"Mamatid, Cabuyao",House,"House,single-family-house",80,50.2,1,2,1,121.151417,14.239095,None,2300000,https://www.lamudi.com.ph/affordable-2-bedrooms-single-attached-in-cabuyao-and-calamba-laguna.html
Horizon Terraces 1-Bedroom Terrace Suite,"Calabuso North, Tagaytay",Condominium,"Condominium,single-bedroom",None,67,None,1,1,121.0233363,14.1414315,St.Andrew,13034001,https://www.lamudi.com.ph/horizon-terraces-1-bedroom-terrace-suite.html
For Sale House and Lot in Bulacan,"Maguinao, San Rafael",House,"House,single-family-house",100,110,None,4,3,120.937221,15.0196756,None,4200000,https://www.lamudi.com.ph/for-sale-house-and-lot-in-bulacan-2.html
"Two Bedroom Unit for Sale in Paragon Plaza, Mandaluyong City","Barangka Ilaya, Mandaluyong",Condominium,"Condominium,double-bedroom",None,85,None,2,3,121.04641,14.571338,Paragon Plaza,6350000,https://www.lamudi.com.ph/two-bedroom-unit-for-sale-in-paragon-plaza-mandalu-165877114919.html
Lot For Sale In Tagaytay,"Calabuso, Tagaytay",Land,"Land,residential-lot",600,None,None,None,None,121.0358238,14.1456011,None,10000000,https://www.lamudi.com.ph/lot-for-sale-in-tagaytay-11.html
"Best For Warehouse, 3.5 Hectares Lot for Sale San Ildefonso, Bulacan","Anyatam, San Ildefonso",Land,"Land,agricutural-lot",35000,None,None,None,None,120.9453252,15.100968,None,52500000,https://www.lamudi.com.ph/best-for-warehouse-3-5-hectares-lot-for-sale-san-ildefonso-bulacan.html
For Sale Bungalow House in Antipolo City near Masinag Market,"Mambugan, Antipolo",House,"House,single-family-house",240,180,1,3,3,121.157573,14.58843,None,10000000,https://www.lamudi.com.ph/for-sale-bungalow-house-in-antipolo-city-near-masinag-market.html
"Condominium unit for Sale in BGC, Taguig City,Fort Bonifacio at Arya Residences!","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,135,1,2,2,121.050318,14.540867,Arya Residences,40950000,https://www.lamudi.com.ph/arya-residences-2-bedroom-condo-for-sale-in-bgc-taguig-nr-uptown-mall.html
"The Suites 4BR Condo for Sale Fort Bonifacio, BGC, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,3,4,4,121.050318,14.540867,The Suites At One Bonifacio High Street,175000000,https://www.lamudi.com.ph/for-sale-double-corner-unit-4-bedroom-condo-in-the-suites-fort-bonifacio-bgc.html
"BGC, Taguig City Condo for Sale in The Suites","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,3,4,4,121.050318,14.540867,The Suites At One Bonifacio High Street,175000000,https://www.lamudi.com.ph/for-sale-fully-furnished-4-bedroom-corner-condo-unit-in-the-suites-bgc-taguig.html
"Farm Lot for Sale in Calamba, Laguna, Palo Alto","Palo-Alto, Calamba",Land,"Land,agricutural-lot",25000,None,None,None,None,121.113605,14.191945,None,200000000,https://www.lamudi.com.ph/for-sale-good-deal-7-920k-per-sqm-farm-and-commercial-lot-in-palo-alto-laguna.html
"For Sale 4 Bedroom 4br Condo in Uptown Ritz, Fort Bonifacio,Bgc, Taguig -Ds88813","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,159.1,1,4,4,121.050318,14.540867,Uptown Ritz Residences,51300000,https://www.lamudi.com.ph/for-sale-4-bedroom-4br-condo-in-uptown-ritz-fort-bonifacio-bgc-taguig-ds88813.html
For Sale Trump Tower | Three Bedroom Corner Unit in Makati - DS88875,"Poblacion, Makati",Condominium,"Condominium,3-bedroom",None,193.3,2,3,4,121.0285574,14.5651917,Trump Tower,80000000,https://www.lamudi.com.ph/for-sale-trump-tower-three-bedroom-corner-unit-in-makati-ds88875.html
"For Sale Forbeswood Heights 1 Bedroom 1BR Unit in Fort BGC,Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,59,1,1,1,121.050318,14.540867,Forbeswood Heights,11000000,https://www.lamudi.com.ph/for-sale-forbeswood-heights-1-bedroom-1br-unit-in-165897809074.html
For Sale Forbeswood Heights 3BR Condo at Fort Bonifacio BGC Taguig -  DS88938,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,143.5,None,3,3,121.0448614,14.5512499,Forbeswood Heights,25000000,https://www.lamudi.com.ph/for-sale-forbeswood-heights-3br-condo-at-fort-bonifacio-bgc-taguig-ds88938.html
"For Sale Avida at 34th St. 2 Bedroom Condo in Fort Bonifacio, BGC Taguig-DS88787","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,74,2,2,2,121.050318,14.540867,Avida Towers 34th Street,18000000,https://www.lamudi.com.ph/for-sale-avida-at-34th-st-2-bedroom-condo-in-fort-bonifacio-bgc-taguig-ds88787.html
"For Sale  F1 Hotel Manila Studio type Condo in BGC, Taguig Nr. SM Aura, St.Lukes","Fort Bonifacio, Taguig",Condominium,"Condominium,studio",None,41.08,None,1,1,121.050318,14.540867,F1 Hotel Manila,8000000,https://www.lamudi.com.ph/for-sale-f1-hotel-manila-studio-type-condo-in-bgc-taguig-nr-sm-aura-st-lukes.html
"Penthouse Unit Condo for Sale in Makati City, Edsa Avenue, Brio Tower","Guadalupe Viejo, Makati",Condominium,"Condominium,4-bedroom",None,230,None,4,3,121.040676,14.564421,Brio Tower,55000000,https://www.lamudi.com.ph/for-sale-brio-tower-fully-furnished-4-bedroom-condo-in-edsa-ave-makati-city.html
"25,000 sqm Big Lot for Sale in Calamba, Laguna, Palo Alto","Palo-Alto, Calamba",Land,"Land,agricutural-lot",25000,None,None,None,None,121.113605,14.191945,None,200000000,https://www.lamudi.com.ph/for-sale-palo-alto-big-lot-with-warehouse-in-calamba-laguna-nr-calax-ds881894.html
For Sale Two Serendra Almond | Studio Unit in BGC Taguig DS881064,"Fort Bonifacio, Taguig",Condominium,"Condominium,studio",None,43,1,1,1,121.0539224,14.54884675,Two Serendra,12825000,https://www.lamudi.com.ph/for-sale-two-serendra-almond-studio-unit-in-bgc-taguig-ds881064.html
"For Sale Duplex House at AFPOVAI, Taguig City, Metro Manila!","Western Bicutan, Taguig",House,"House,townhouse",200,410,4,4,5,121.036376,14.517219,None,46800000,https://www.lamudi.com.ph/for-sale-brand-new-duplex-house-and-lot-in-taguig-166001577425.html
Makati Condo for Sale in Brio Tower Penthouse Unit Loft type,"Guadalupe Viejo, Makati",Condominium,"Condominium,penthouse-1",None,230,4,4,3,121.040676,14.564421,Brio Tower,55000000,https://www.lamudi.com.ph/makati-condo-for-sale-in-brio-tower-penthouse-unit-165874346618.html
"For Sale Fully Furnished 1-Bedroom Condo in Two Serandra, BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,56,1,1,1,121.050318,14.540867,Two Serendra,15500000,https://www.lamudi.com.ph/for-sale-fully-furnished-1-bedroom-condo-in-two-serandra-bgc-taguig.html
"For Sale Fort Victoria Two Bedroom Unit  - BGC, Taguig City - DS881421","Fort Bonifacio, Taguig",Condominium,"Condominium,loft-1",None,45.39,1,2,1,121.0456818,14.5469433,Fort Victoria,10000000,https://www.lamudi.com.ph/for-sale-fort-victoria-two-bedroom-unit-bgc-taguig-city-ds881421.html
For Sale Fort Victoria Fully Furnished 2BR Condo  - with Golf Course View Fort BGC,"Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,45.38,None,2,2,121.0456818,14.5469433,Fort Victoria,8000000,https://www.lamudi.com.ph/for-sale-fort-victoria-fully-furnished-2br-condo-with-golf-course-view-fort-bgc.html
For Sale Trion Tower 1BR Condo Unit in BGC Taguig City- DS881737,"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,37.8,None,1,1,121.0494,14.54595,The Trion Towers,9500000,https://www.lamudi.com.ph/for-sale-trion-tower-1br-condo-unit-in-bgc-taguig-city-ds881737.html
"5 Bedroom Corner House and Lot for Sale in Mayamot, Antipolo, Rizal","Mayamot, Antipolo",House,"House,single-family-house",168.7,358,2,5,5,121.141432,14.611857,None,12500000,https://www.lamudi.com.ph/5-bedroom-corner-house-and-lot-for-sale-in-mayamot-antipolo-rizal.html
Commercial Building in Marcos Highway For Sale in Pasig City,"Dela Paz, Pasig",Commercial,"Commercial,building",1203,0,None,None,None,121.097996,14.612889,None,220000000,https://www.lamudi.com.ph/commercial-building-in-marcos-highway-for-sale-in-pasig-city.html
"Brand New Corner Unit 1 Bedroom Condo for Sale in BGC, Taguig East Gallery Place","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,74,1,1,1,121.050318,14.540867,East Gallery Place,27000000,https://www.lamudi.com.ph/brand-new-corner-unit-1-bedroom-condo-for-sale-in-bgc-taguig-east-gallery-place.html
The Suites at Bonifacio Global City Taguig For Sale Prime Condominium,"Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,286,None,4,4,121.050318,14.540867,THE SUITES,160000000,https://www.lamudi.com.ph/the-suites-at-bonifacio-global-city-taguig-for-sale-prime-condominium.html
"For Sale 2 Car Garage Townhouse in Las Pinas City, Metro Manila","Talon Singko, Las Pinas",House,"House,townhouse",80,140,2,4,3,120.996723,14.422561,None,7500000,https://www.lamudi.com.ph/for-sale-2-car-garage-townhouse-in-las-pinas-city-metro-manila.html
Townhouse 3 Bedroom’s In Moonwalk Las Pinas City,"Talon Singko, Las Pinas",House,"House,townhouse",60,98,1,3,3,120.996723,14.422561,None,6000000,https://www.lamudi.com.ph/townhouse-3-bedrooms-in-moonwalk-las-pinas-city.html
"83 sqm Fully Furnished 1-BR Condominium with Balcony for Sale at BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,83,None,1,1,121.050318,14.540867,South of Market,17500000,https://www.lamudi.com.ph/83-sqm-fully-furnished-1-br-condominium-with-balcony-for-sale-at-bgc-taguig.html
For Sale Brand New Modern Design 2 Storey Duplex House in BF Resort Las Pinas,"Talon Dos, Las Pinas",House,"House,townhouse",172,250,2,5,5,120.985214,14.438526,None,15500000,https://www.lamudi.com.ph/for-sale-brand-new-modern-design-2-storey-duplex-house-in-bf-resort-las-pinas-311.html
Residential lot for sale talay Dumaguete Negros Oriental,"Talay, Dumaguete",Land,"Land,residential-lot",2332,None,None,None,None,123.2691277,9.2931886,None,3900000,https://www.lamudi.com.ph/residential-lot-for-sale-talay-dumaguete-negros-oriental.html
For Sale Modern Design Brand New Triplex House and Lot in Las Pinas,"Talon Dos, Las Pinas",House,"House,townhouse",98,160,1,3,3,120.985214,14.438526,None,7400000,https://www.lamudi.com.ph/for-sale-modern-design-brand-new-triplex-house-and-lot-in-las-pinas-14.html
For Sale Modern Design 2 Storey Single Dettached House and Lot in Las Pinas,"Talon Dos, Las Pinas",House,"House,townhouse",299,300,2,5,4,120.985214,14.438526,None,25000000,https://www.lamudi.com.ph/for-sale-modern-design-2-storey-single-dettached-house-and-lot-in-las-pinas.html
Tagaytay Highlands Aspen Hills Lot For Sale,"Iruhin South, Tagaytay",Land,"Land,residential-lot",603.75,None,None,None,None,121.0077105,14.1272957,None,18500000,https://www.lamudi.com.ph/tagaytay-highlands-aspen-hills-lot-for-sale.html
brand new modern design with swimming pool single house and lot in merville,"Merville, Paranaque",House,"House,single-family-house",269,446,2,5,4,121.025633,14.499387,None,48000000,https://www.lamudi.com.ph/brand-new-modern-design-with-swimming-pool-single-house-and-lot-in-merville.html
"FOR SALE: ALICE, ANICA, THEA- 3 bedrooms Townhouse @ Lancaster New City Cavite","Tapia, General Trias",House,"House,townhouse",60,40,None,3,2,120.876425,14.35507,None,1900000,https://www.lamudi.com.ph/for-sale-alice-anica-thea-3-bedrooms-townhouse-lancaster-new-city-cavite.html
"Lot for Sale in the Paradise of Coron, Palawan","Banuang Daan, Coron",Land,"Land,residential-lot",400,None,None,None,None,120.242044,11.953947,None,4872000,https://www.lamudi.com.ph/lot-for-sale-in-the-paradise-of-coron-palawan.html
Corner lot 634sqm walking distance from SM Fairview 24hrs security Php33M,"Fairview, Quezon City",Land,"Land,residential-lot",634,None,None,None,None,121.023475,14.616088,None,33000000,https://www.lamudi.com.ph/corner-lot-634sqm-walking-distance-from-sm-fairview-24hrs-security-php33m.html
"Amara-Expanded House and Lot for Sale in Loma de Gato, Marilao, Bulacan","Loma de Gato, Marilao",House,"House,single-family-house",110,147,1,3,3,121.0188103,14.7952057,None,6893150,https://www.lamudi.com.ph/amara-expanded-house-and-lot-for-sale-in-loma-de-gato-marilao-bulacan.html
Briana Single Attached with 4 Bedrooms Glenbrook at Lancaster New City,"Pasong Camachile I, General Trias",House,"House,single-family-house",100,110,2,5,3,120.896613,14.37318,None,5978000,https://www.lamudi.com.ph/briana-single-attached-with-4-bedrooms-glenbrook-at-lancaster-new-city.html
3 Bedroom Fully Finished Townhouse for sale in San Jose Del Monte Bulacan,"Muzon, San Jose del Monte",House,"House,townhouse",50,66,None,3,2,121.0274788,14.8104242,None,2806000,https://www.lamudi.com.ph/3-bedroom-fully-finished-townhouse-for-sale-in-san-jose-del-monte-bulacan.html
"Provision 2 Bedroom Townhouse for sale in Marilao, Bulacan","Loma de Gato, Marilao",House,"House,townhouse",55,47,None,2,1,121.0135834,14.7884969,None,2186800,https://www.lamudi.com.ph/provision-2-bedroom-townhouse-for-sale-in-marilao-bulacan.html
"Almost Brand New 2 Bedroom Condo For Sale In One Shangri-La Place, Mandaluyong","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,64,2,2,3,121.053333,14.592173,One Shangri-La Place,90000000,https://www.lamudi.com.ph/almost-brand-new-2-bedroom-condo-for-sale-in-one-shangri-la-place-mandaluyong.html
"Rush Sale! 340 Sqm Prime Lots For Sale Tivoli Royale, Qc! Nr. Don Antonio Royale","Commonwealth, Quezon City",Land,"Land,residential-lot",340,None,None,None,None,121.082236,14.696697,None,39100000,https://www.lamudi.com.ph/rush-sale-340-sqm-prime-lots-for-sale-tivoli-royale-qc-nr-don-antonio-royale.html
"Tivoli Royale Prime 2 Adjacent Lots for Sala in QC! Commonwealth, with views","Matandang Balara, Quezon City",Land,"Land,residential-lot",340,None,None,None,None,121.082236,14.665648,None,39100000,https://www.lamudi.com.ph/tivoli-royale-prime-2-adjacent-lots-for-sala-in-qc-commonwealth-with-views.html
Building Commercial in Makati City,"Makati Avenue, Makati",Commercial,"Commercial,offices",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/building-commercial-in-makati-city-165995165169.html
Commercial Building for Sale in Quezon City Along Quezon Ave. Big Lot for Sale,"Cubao, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0572,14.61777,None,400000000,https://www.lamudi.com.ph/commercial-building-for-sale-in-quezon-city-along-quezon-ave-big-lot-for-sale.html
"For Sale Commercial Building for Sale in Quezon Ave. , Quezon City","Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/for-sale-quezon-ave-commercial-building-in-qc-5-storey-near-diliman-katipunan.html
"For Sale The Veranda Studio type Penthouse Unit Condo  in BGC, Taguig","Western Bicutan, Taguig",Condominium,"Condominium,studio",None,31,None,1,1,121.0486932,14.50492289,The Veranda BGC,6500000,https://www.lamudi.com.ph/for-sale-the-veranda-studio-type-penthouse-unit-condo-in-bgc-taguig.html
For Sale Afpovai | Brand New 3-Storey Apartment Building  Fort Bonifacio-DS882732,"Western Bicutan, Taguig",Apartment,"Apartment,apartments",None,900,None,20,None,121.036376,14.517219,None,98000000,https://www.lamudi.com.ph/for-sale-afpovai-brand-new-3-storey-apartment-building-fort-bonifacio-ds882732.html
"Lot for Sale in Calamba, Laguna, Palo Alto! -DS88-000179","Palo-Alto, Calamba",Land,"Land,commercial-lot",25000,None,None,None,None,121.113605,14.191945,None,200000000,https://www.lamudi.com.ph/for-sale-farm-lot-with-warehouse-in-palo-alto-calamba-laguna-ds881894.html
Moonwalk 5-StoreyBudget Hotel Building in Paranaque with Commercial Space Nr.BGC,"Moonwalk, Paranaque",Commercial,"Commercial,building",240,1000,4,None,None,121.008496,14.492371,None,100000000,https://www.lamudi.com.ph/moonwalk-5-storeybudget-hotel-building-in-paranaque-with-commercial-space-nr-bgc.html
"Fully furnished Commercial/Residential Building Mandaluyong City, Highway Hills","Highway Hills, Mandaluyong",Commercial,"Commercial,building",279,1674,7,None,None,121.052143,14.578255,None,107000000,https://www.lamudi.com.ph/fully-furnished-commercial-residential-building-mandaluyong-city-highway-hills.html
"Brand New Budget Hotel Building for Sale in Paranaque, Moonwalk Nr. NAIA Airport","Moonwalk, Paranaque",Commercial,"Commercial,building",240,1000,4,None,None,121.008496,14.492371,None,100000000,https://www.lamudi.com.ph/brand-new-budget-hotel-building-for-sale-in-paranaque-moonwalk-nr-naia-airport.html
"Commercial Building For Sale in Cainta, Rizal at Village East Executive Homes","San Isidro, Cainta",Commercial,"Commercial,building",794,2286,None,None,None,121.1176763,14.5876759,None,120000000,https://www.lamudi.com.ph/commercial-building-for-sale-in-cainta-rizal-at-vi-16596887867.html
"Cainta, Rizal Lot for Sale Along Felix Ave.","San Roque, Cainta",Land,"Land,commercial-lot",1767.9,None,None,None,None,121.119726,14.57923,None,265185000,https://www.lamudi.com.ph/cainta-rizal-lot-for-sale-along-felix-ave-165874103375.html
For Sale Commercial Building in Makati City Makati Ave.,"Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/for-sale-commercial-building-in-makati-city-makati-165995162028.html
For Sale Makati Ave. 10-Storey Office Commercial Building Makati City,"Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/for-sale-makati-ave-10-storey-office-commercial-bu-16595835067.html
For Sale Prime Commercial Lot  in MarinaBay Entertainment City Paranaque-DS882553,"Tambo, Paranaque",Land,"Land,commercial-lot",2877.85,None,None,None,None,120.989915,14.516398,None,1438925000,https://www.lamudi.com.ph/for-sale-prime-commercial-lot-in-marinabay-entertainment-city-paranaque-ds882553.html
For Sale Gatchalian Subd. Modern Design Residential Building Las Pinas City,"Manuyo Dos, Las Pinas",Commercial,"Commercial,building",277,1100,None,None,None,120.9957576,14.4675605,None,55000000,https://www.lamudi.com.ph/for-sale-gatchalian-subd-modern-design-residential-building-las-pinas-city.html
"Good Location! Corner Office Building in Makati Ave. Nr. Greenbelt,BGC,Glorietta","Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/good-location-corner-office-building-in-makati-ave-nr-greenbelt-bgc-glorietta.html
"Industrial Lot for Sale in Cainta, Rizal! Along Felix Avenue","San Roque, Cainta",Land,"Land,commercial-lot",1767.9,None,None,None,None,121.119726,14.57923,None,265185000,https://www.lamudi.com.ph/industrial-lot-for-sale-in-cainta-rizal-along-feli-165874101936.html
"Commercial Lot for Sale in Quezon City, Quezon Ave.","Cubao, Quezon City",Land,"Land,commercial-lot",2000,3301,None,None,None,121.0572,14.61777,None,400000000,https://www.lamudi.com.ph/quezon-ave-2-000sqm-prime-commercial-lot-qc-with-existing-structure-nr-diliman.html
"For Sale Prime Commercial Corner Lot  in Blue Ridge A, Quezon City Along C5","Blue Ridge A, Quezon City",Land,"Land,commercial-lot",1075.5,None,None,None,None,121.0443089,14.6621443,None,215000000,https://www.lamudi.com.ph/for-sale-prime-commercial-corner-lot-in-blue-ridge-a-quezon-city-along-c5.html
Corner Office Commercial Building in Makati City Along Makati Ave.,"Ayala Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0218,14.55659,None,275000000,https://www.lamudi.com.ph/corner-office-commercial-building-in-makati-city-a-16599515676.html
"Prime Commercial Corner Lot  in Blue Ridge A, Quezon City Along C5 Nr. Katipunan","Blue Ridge A, Quezon City",Land,"Land,commercial-lot",1075.5,None,None,None,None,121.07328,14.618791,None,215000000,https://www.lamudi.com.ph/prime-commercial-corner-lot-in-blue-ridge-a-quezon-city-along-c5-nr-katipunan.html
"For Sale 5-Unit Income Generating Apartment  in Cubao, Quezon City-DS882559","Cubao, Quezon City",Apartment,"Apartment,apartments",None,524,None,5,5,121.0572,14.61777,None,120000000,https://www.lamudi.com.ph/for-sale-5-unit-income-generating-apartment-in-cubao-quezon-city-ds882559.html
For Sale Commercial Lot  at Quezon City with Building Lower price! Rush Sale!,"Quezon Avenue, Quezon City",Land,"Land,commercial-lot",2000,None,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/for-sale-commercial-lot-at-quezon-city-with-building-lower-price-rush-sale.html
