Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
"Mansion with 9 Bedrooms for Sale in Francisco, Tagaytay, Cavite","Francisco, Tagaytay",House,"House,villas",680,2000,7,9,10,120.98341,14.124996,None,85000000,https://www.lamudi.com.ph/mansion-with-9-bedrooms-for-sale-in-tagaytay-166090207190.html
Townhouse/House and Lot for Sale in San Juan City! 3-Storey with High Ceiling,"Greenhills, San Juan",House,"House,single-family-house",232,502,None,4,4,121.0468908,14.6011932,None,53815248.6,https://www.lamudi.com.ph/house-and-lot-for-sale-in-san-juan-city-3-storey-w-16608932475.html
"One Uptown Residences 2 Bedroom Condo for Sale in BGC,Fort Bonifacio,Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,68.6,None,2,2,121.050318,14.540867,ONE UPTOWN RESIDENCE,19000000,https://www.lamudi.com.ph/one-uptown-residences-2-bedroom-condo-for-sale-in-166089138030.html
"Lot for Sale in Calamba, Laguna at Mondia Nuvali!","Canlubang, Calamba",Land,"Land,residential-lot",471,None,None,None,None,121.0533622,14.1857173,None,13523001.63,https://www.lamudi.com.ph/lot-for-sale-in-calamba-laguna-at-mondia-nuvali-166088908790.html
"Pre-Selling 2-Storey Townhouse (Inner Unit) in Trece Martires, Cavite","Conchu, Trece Martires",House,"House,townhouse",50,50,None,1,1,120.882234,14.257876,None,2700000,https://www.lamudi.com.ph/2-storey-townhouse-inner-unit-in-trece-martires-166088450882.html
"Modern House and Lot for Sale in Ayala Alabang Village, Muntinlupa City","Ayala Alabang, Muntinlupa",House,"House,single-family-house",680,555,4,4,5,121.022321,14.405874,None,195000000,https://www.lamudi.com.ph/modern-house-and-lot-for-sale-in-ayala-alabang-vil-16608823650.html
"Bungalow house and lot for sale in Dasmarinas, Cavite",Dasmarinas,House,"House,single-family-house",100,40,None,3,1,120.9567904,14.322093,None,1200000,https://www.lamudi.com.ph/bungalow-house-for-sale-166087956634.html
Exclusive 389 sqm Residential Lot For Sale at Tagaytay Highlands,"Calabuso North, Tagaytay",Land,"Land,residential-lot",389,None,None,None,None,121.0233363,14.1414315,None,9800000,https://www.lamudi.com.ph/exclusive-residential-lot-at-tagaytay-highlands-166087643348.html
"Pre-selling Luxury Zen Home I Yang Unit at Alima Mabolo in Cebu City, Cebu","Mabolo, Cebu",House,"House,single-family-house",160,422,3,4,6,123.918231,10.31581,None,46172500,https://www.lamudi.com.ph/pre-selling-luxury-zen-home-i-yang-unit-at-alima-m-166087556319.html
"Pre-selling Luxury Zen Home I Yin Unit at Alima Mabolo in Cebu City, Cebu","Mabolo, Cebu",House,"House,single-family-house",160,422,3,4,6,123.918231,10.31581,None,49515950,https://www.lamudi.com.ph/pre-selling-luxury-zen-home-i-yin-unit-at-alima-ma-166087515399.html
Residential and farm Lot for sale in Tagaytay Highlands,"Calabuso North, Tagaytay",Land,"Land,residential-lot",590,None,None,None,None,121.0233363,14.1414315,None,10900000,https://www.lamudi.com.ph/residential-and-farm-lot-tagaytay-highlands-166087418869.html
Residential Lot for sale in The Grove at Tagaytay Highlands,"Sulpoc, Tanauan",Land,"Land,residential-lot",554,None,None,None,None,121.0655486,14.1400085,None,10700000,https://www.lamudi.com.ph/the-grove-at-tagaytay-highlands-166087266589.html
"Brandnew House- Single-Attached for sale in Eagle Crest, Baguio City","Bakakeng North, Baguio",House,"House,single-family-house",75,155,None,4,3,120.588941,16.39866,None,9500000,https://www.lamudi.com.ph/brandnew-house-single-attached-166083666226.html
